time,Master4Paths4.timeDiff_Std.ScaledTimeDiff:vector
7.85,2.0991e-08
7.86,-4.0718e-08
7.87,-9.8208e-08
7.88,-2.31839e-07
7.89,-3.54493e-07
7.9,-3.87393e-07
7.91,-5.53879e-07
7.92,-7.65729e-07
7.93,-8.53339e-07
7.94,-1.00685e-06
7.95,-1.21297e-06
7.96,-1.18352e-06
7.97,-1.15393e-06
7.98,-1.12616e-06
7.99,-1.02794e-06
8,-9.22738e-07
8.01,-8.25658e-07
8.02,-7.17456e-07
8.03,-6.05466e-07
8.04,-4.93476e-07
8.05,-3.96224e-07
8.06,-3.09375e-07
8.07,-2.45175e-07
8.08,-1.82414e-07
8.09,-1.21114e-07
8.1,-8.1059e-08
8.11,-4.2548e-08
8.12,-4.038e-09
8.13,2.3577e-08
8.14,5.2741e-08
8.15,9.4751e-08
8.16,1.30761e-07
8.17,1.63058e-07
8.18,1.88668e-07
8.19,2.14283e-07
8.2,2.39903e-07
8.21,2.57658e-07
8.22,2.35529e-07
8.23,1.61149e-07
8.24,2.33261e-07
8.25,3.2597e-07
8.26,4.1549e-07
8.27,4.27102e-07
8.28,4.11068e-07
8.29,3.90298e-07
8.3,3.99009e-07
8.31,4.23129e-07
8.32,4.02359e-07
8.33,3.79212e-07
8.34,3.53642e-07
8.35,3.29098e-07
8.36,3.05888e-07
8.37,2.84818e-07
8.38,2.63748e-07
8.39,2.42676e-07
8.4,2.21596e-07
8.41,2.95477e-07
8.42,4.10313e-07
8.43,5.01833e-07
8.44,5.89076e-07
8.45,6.72906e-07
8.46,6.10773e-07
8.47,5.55337e-07
8.48,5.09767e-07
8.49,4.6385e-07
8.5,4.1788e-07
8.51,3.7191e-07
8.52,3.2594e-07
8.53,2.81266e-07
8.54,2.42386e-07
8.55,2.09448e-07
8.56,1.80404e-07
8.57,1.55224e-07
8.58,1.30044e-07
8.59,1.04864e-07
8.6,8.6957e-08
8.61,5.2864e-08
8.62,-9.716e-09
8.63,-7.0286e-08
8.64,-1.27077e-07
8.65,-1.73667e-07
8.66,-1.7981e-07
8.67,-1.66235e-07
8.68,-1.46235e-07
8.69,-1.26234e-07
8.7,-1.06234e-07
8.71,-1.3794e-08
8.72,4.6713e-08
8.73,6.4723e-08
8.74,-6.7988e-08
8.75,-2.22697e-07
8.76,-3.76097e-07
8.77,-3.92438e-07
8.78,-3.70808e-07
8.79,-3.89908e-07
8.8,-4.0002e-07
8.81,-4.01829e-07
8.82,-3.56529e-07
8.83,-2.83567e-07
8.84,-1.82367e-07
8.85,-8.8524e-08
8.86,4.786e-09
8.87,9.8096e-08
8.88,2.46153e-07
8.89,3.92938e-07
8.9,4.95058e-07
8.91,5.32052e-07
8.92,5.37935e-07
8.93,5.37665e-07
8.94,5.21294e-07
8.95,4.92124e-07
8.96,4.62955e-07
