time,Nodes1Paths2.timeDiffObserver_Std.ScaledTimeDiff:vector
8.3,-2.45078e-07
8.31,-2.12983e-07
8.32,-1.77483e-07
8.33,7.8915e-08
8.34,5.60735e-07
8.35,5.51212e-07
8.36,3.81825e-07
8.37,2.135e-09
8.38,1.92943e-07
8.39,4.07268e-07
8.4,2.77688e-07
8.41,1.61883e-07
8.42,5.5336e-08
8.43,-3.0254e-08
8.44,-8.9828e-08
8.45,-1.28718e-07
8.46,-1.04511e-07
8.47,-8.1652e-08
8.48,-6.0952e-08
8.49,-2.78551e-07
8.5,-4.44061e-07
8.51,-4.12071e-07
8.52,-4.97917e-07
8.53,-6.23809e-07
8.54,-7.47829e-07
8.55,-8.39756e-07
8.56,-9.0193e-07
8.57,-7.9945e-07
8.58,-9.97206e-07
8.59,-1.50155e-06
8.6,-1.3322e-06
8.61,-1.12463e-06
8.62,-9.35264e-07
8.63,-7.92491e-07
8.64,-6.48486e-07
8.65,-4.66696e-07
8.66,-7.79029e-07
8.67,-1.24229e-06
8.68,-1.12172e-06
8.69,-6.75273e-07
8.7,3.0027e-08
8.71,-3.8643e-08
8.72,-1.35332e-07
8.73,-2.64532e-07
8.74,-4.35553e-07
8.75,-5.92098e-07
8.76,-7.01808e-07
8.77,-7.60286e-07
8.78,-7.14261e-07
8.79,-2.78861e-07
8.8,-4.54695e-07
8.81,-9.5812e-07
8.82,-6.8854e-07
8.83,-4.94048e-07
8.84,-3.76258e-07
8.85,-5.31763e-07
8.86,-5.95957e-07
8.87,-4.70967e-07
8.88,-3.97307e-07
8.89,-3.40919e-07
8.9,-2.99929e-07
8.91,-2.61737e-07
8.92,-2.25906e-07
8.93,-1.97816e-07
8.94,-2.99103e-07
8.95,-5.03013e-07
8.96,-4.14198e-07
8.97,-3.29523e-07
8.98,-2.52233e-07
8.99,-1.6675e-07
9,-1.02619e-07
9.01,-8.9419e-08
9.02,-6.9077e-08
9.03,-3.2125e-08
9.04,6.8775e-08
9.05,1.00577e-07
9.06,8.9955e-08
9.07,7.5465e-08
9.08,7.038e-08
9.09,7.488e-08
9.1,-4.55017e-07
9.11,-7.78695e-07
9.12,-6.86115e-07
9.13,-6.09417e-07
9.14,-5.56905e-07
9.15,-5.66915e-07
9.16,-5.1622e-07
9.17,-4.3852e-07
9.18,-3.6883e-07
9.19,-3.1453e-07
9.2,-2.7244e-07
9.21,-3.34546e-07
9.22,-3.47651e-07
9.23,-2.95661e-07
9.24,-5.69643e-07
9.25,-8.16407e-07
9.26,-8.90527e-07
9.27,-8.35644e-07
9.28,-7.14551e-07
9.29,-4.94861e-07
9.3,-4.07793e-07
9.31,-4.07138e-07
9.32,-4.89848e-07
9.33,-3.55216e-07
9.34,1.184e-09
9.35,-2.06472e-07
9.36,-4.38137e-07
9.37,-6.40047e-07
9.38,-7.4372e-07
9.39,-7.54517e-07
9.4,-5.50837e-07
9.41,-6.15829e-07
9.42,-8.01265e-07
9.43,-9.49885e-07
9.44,-1.04981e-06
9.45,-1.11104e-06
9.46,-1.15773e-06
9.47,-1.30799e-06
9.48,-1.59443e-06
9.49,-1.46316e-06
9.5,-1.27065e-06
9.51,-1.07938e-06
9.52,-9.13517e-07
9.53,-7.56253e-07
9.54,-5.98573e-07
9.55,-5.00138e-07
9.56,-4.38503e-07
9.57,-3.86013e-07
9.58,-3.40063e-07
9.59,-3.00773e-07
9.6,-2.63346e-07
9.61,-2.30056e-07
9.62,-2.03566e-07
9.63,-1.72953e-07
9.64,-5.0195e-08
9.65,3.52325e-07
9.66,7.14727e-07
9.67,9.99263e-07
9.68,8.51903e-07
9.69,7.14125e-07
9.7,5.83955e-07
9.71,4.7386e-07
9.72,3.66992e-07
9.73,2.64212e-07
9.74,1.389e-08
9.75,-1.59116e-07
9.76,-1.09116e-07
9.77,2.93095e-07
9.78,7.16894e-07
9.79,7.01024e-07
9.8,8.10509e-07
9.81,1.00123e-06
9.82,1.26428e-06
9.83,1.24879e-06
