time,Nodes1Paths2.timeDiffObserver_Voted.ScaledTimeDiff:vector
7.49,1.65374e-07
7.5,1.62538e-07
7.51,1.58659e-07
7.52,1.55754e-07
7.53,1.53297e-07
7.54,1.50971e-07
7.55,1.47962e-07
7.56,1.44767e-07
7.57,1.4418e-07
7.58,1.46624e-07
7.59,1.51264e-07
7.6,1.44208e-07
7.61,1.41432e-07
7.62,1.40691e-07
7.63,1.40209e-07
7.64,1.4025e-07
7.65,1.36136e-07
7.66,1.32831e-07
7.67,1.3339e-07
7.68,1.34031e-07
7.69,1.31067e-07
7.7,1.26252e-07
7.71,1.26794e-07
7.72,1.28326e-07
7.73,1.34466e-07
7.74,1.3311e-07
7.75,1.30316e-07
7.76,1.31256e-07
7.77,1.33573e-07
7.78,1.37127e-07
7.79,1.43468e-07
7.8,1.4186e-07
7.81,1.36626e-07
7.82,1.38918e-07
7.83,1.43187e-07
7.84,1.49927e-07
7.85,1.54779e-07
7.86,1.5634e-07
7.87,1.59306e-07
7.88,1.60518e-07
7.89,1.60298e-07
7.9,1.60748e-07
7.91,1.57083e-07
7.92,1.52277e-07
7.93,1.50006e-07
7.94,1.43529e-07
7.95,1.351e-07
7.96,1.3838e-07
7.97,1.39586e-07
7.98,1.38936e-07
7.99,1.39122e-07
8,1.39463e-07
8.01,1.44361e-07
8.02,1.4757e-07
8.03,1.47591e-07
8.04,1.46942e-07
8.05,1.49165e-07
8.06,1.52522e-07
8.07,1.49022e-07
8.08,1.47568e-07
8.09,1.51108e-07
8.1,1.50875e-07
8.11,1.47941e-07
8.12,1.43973e-07
8.13,1.46399e-07
8.14,1.49641e-07
8.15,1.46316e-07
8.16,1.42797e-07
8.17,1.40903e-07
8.18,1.39254e-07
8.19,1.37389e-07
8.2,1.3354e-07
8.21,1.3005e-07
8.22,1.26874e-07
8.23,1.25624e-07
8.24,1.20915e-07
8.25,1.1972e-07
8.26,1.2626e-07
8.27,1.29639e-07
8.28,1.3518e-07
8.29,1.36871e-07
8.3,1.37238e-07
8.31,1.3799e-07
8.32,1.4243e-07
8.33,1.43756e-07
8.34,1.41706e-07
8.35,1.39818e-07
8.36,1.39992e-07
8.37,1.43433e-07
8.38,1.40622e-07
8.39,1.38666e-07
8.4,1.36916e-07
8.41,1.39351e-07
8.42,1.43691e-07
8.43,1.4709e-07
8.44,1.49346e-07
8.45,1.50683e-07
8.46,1.47134e-07
8.47,1.46359e-07
8.48,1.49099e-07
8.49,1.51282e-07
8.5,1.50713e-07
8.51,1.4181e-07
8.52,1.37618e-07
8.53,1.36169e-07
8.54,1.40203e-07
8.55,1.44446e-07
8.56,1.441e-07
8.57,1.4215e-07
8.58,1.41211e-07
8.59,1.41951e-07
8.6,1.42548e-07
8.61,1.42498e-07
8.62,1.46332e-07
8.63,1.50036e-07
8.64,1.51996e-07
8.65,1.50262e-07
8.66,1.49105e-07
8.67,1.48028e-07
8.68,1.45651e-07
8.69,1.43512e-07
8.7,1.42463e-07
8.71,1.43864e-07
8.72,1.47165e-07
8.73,1.50815e-07
8.74,1.53158e-07
8.75,1.53291e-07
8.76,1.49542e-07
8.77,1.50163e-07
8.78,1.49582e-07
8.79,1.41932e-07
8.8,1.42013e-07
8.81,1.45706e-07
8.82,1.43657e-07
8.83,1.41618e-07
8.84,1.38268e-07
8.85,1.38528e-07
8.86,1.39325e-07
8.87,1.30718e-07
8.88,1.25902e-07
8.89,1.23569e-07
8.9,1.2583e-07
8.91,1.28173e-07
8.92,1.30358e-07
8.93,1.29922e-07
8.94,1.30408e-07
8.95,1.32575e-07
8.96,1.32001e-07
8.97,1.31926e-07
8.98,1.31176e-07
8.99,1.30429e-07
9,1.31241e-07
9.01,1.35319e-07
9.02,1.39028e-07
9.03,1.41041e-07
9.04,1.38392e-07
9.05,1.37141e-07
9.06,1.39983e-07
9.07,1.39329e-07
9.08,1.37648e-07
9.09,1.38788e-07
9.1,1.43927e-07
9.11,1.48731e-07
9.12,1.53082e-07
9.13,1.56736e-07
9.14,1.59265e-07
9.15,1.5689e-07
9.16,1.53792e-07
9.17,1.50872e-07
9.18,1.48828e-07
9.19,1.44413e-07
9.2,1.38428e-07
9.21,1.43566e-07
9.22,1.48652e-07
9.23,1.52902e-07
9.24,1.5467e-07
9.25,1.52379e-07
9.26,1.46039e-07
9.27,1.45366e-07
9.28,1.49217e-07
9.29,1.48201e-07
9.3,1.4613e-07
9.31,1.44979e-07
9.32,1.4374e-07
9.33,1.39816e-07
9.34,1.33766e-07
9.35,1.38334e-07
9.36,1.43184e-07
9.37,1.46477e-07
9.38,1.45101e-07
9.39,1.44505e-07
9.4,1.43207e-07
9.41,1.38749e-07
9.42,1.3411e-07
9.43,1.3217e-07
9.44,1.3071e-07
9.45,1.30957e-07
9.46,1.34866e-07
9.47,1.38267e-07
9.48,1.36927e-07
9.49,1.33802e-07
9.5,1.29878e-07
9.51,1.30928e-07
9.52,1.33999e-07
9.53,1.37638e-07
9.54,1.36299e-07
9.55,1.38725e-07
9.56,1.41857e-07
9.57,1.43486e-07
9.58,1.4643e-07
9.59,1.4748e-07
9.6,1.50826e-07
9.61,1.49512e-07
9.62,1.45141e-07
9.63,1.38905e-07
9.64,1.32164e-07
9.65,1.35002e-07
9.66,1.32084e-07
9.67,1.28453e-07
9.68,1.339e-07
9.69,1.39208e-07
9.7,1.46059e-07
9.71,1.48428e-07
9.72,1.47937e-07
9.73,1.51387e-07
9.74,1.5408e-07
9.75,1.55932e-07
9.76,1.52961e-07
9.77,1.49225e-07
9.78,1.45583e-07
9.79,1.42544e-07
9.8,1.40396e-07
9.81,1.38706e-07
9.82,1.37367e-07
9.83,1.39538e-07
9.84,1.44188e-07
9.85,1.42282e-07
9.86,1.40322e-07
9.87,1.39683e-07
9.88,1.39044e-07
9.89,1.38189e-07
9.9,1.3803e-07
9.91,1.3652e-07
9.92,1.34427e-07
9.93,1.33332e-07
9.94,1.32858e-07
9.95,1.32865e-07
9.96,1.32134e-07
9.97,1.32083e-07
9.98,1.32933e-07
9.99,1.33755e-07
10,1.34432e-07
10.01,1.34982e-07
10.02,1.3085e-07
10.03,1.28903e-07
10.04,1.34462e-07
10.05,1.38098e-07
10.06,1.40106e-07
10.07,1.41758e-07
10.08,1.46972e-07
10.09,1.55922e-07
10.1,1.63576e-07
10.11,1.66012e-07
10.12,1.65759e-07
10.13,1.61742e-07
10.14,1.57049e-07
10.15,1.56974e-07
10.16,1.58014e-07
10.17,1.57905e-07
10.18,1.54217e-07
10.19,1.51382e-07
10.2,1.49442e-07
10.21,1.47743e-07
10.22,1.50266e-07
10.23,1.58116e-07
10.24,1.64001e-07
10.25,1.68972e-07
10.26,1.71893e-07
10.27,1.74257e-07
10.28,1.75255e-07
10.29,1.74215e-07
10.3,1.70161e-07
10.31,1.65024e-07
10.32,1.65675e-07
10.33,1.65686e-07
10.34,1.59746e-07
10.35,1.54291e-07
10.36,1.50141e-07
10.37,1.47502e-07
10.38,1.45212e-07
10.39,1.4292e-07
10.4,1.35176e-07
10.41,1.29141e-07
10.42,1.29564e-07
10.43,1.30753e-07
10.44,1.30943e-07
10.45,1.31141e-07
10.46,1.32093e-07
10.47,1.33098e-07
10.48,1.38048e-07
10.49,1.41956e-07
10.5,1.46936e-07
10.51,1.55786e-07
10.52,1.55541e-07
10.53,1.54395e-07
10.54,1.57145e-07
10.55,1.5567e-07
10.56,1.52873e-07
10.57,1.54924e-07
10.58,1.53723e-07
10.59,1.49783e-07
10.6,1.4665e-07
10.61,1.44385e-07
10.62,1.36697e-07
10.63,1.42968e-07
10.64,1.48939e-07
